0,223.9,323.0,556.1,615.9,0.99,0,car,0.99
0,755.1,841.0,521.9,566.6,0.98,1,car,1.0
0,1021.2,1063.8,483.3,516.9,0.91,2,car,0.97
0,1120.4,1276.6,549.0,666.8,0.9,3,car,0.88
0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,8,0,0
0,0,0,0,0,0,9,0,0
0,0,0,0,0,0,10,0,0
0,0,0,0,0,0,11,0,0
0,0,0,0,0,0,12,0,0
0,0,0,0,0,0,13,0,0
0,0,0,0,0,0,14,0,0
0,0,0,0,0,0,15,0,0
0,0,0,0,0,0,16,0,0
0,0,0,0,0,0,17,0,0
0,0,0,0,0,0,18,0,0
0,0,0,0,0,0,19,0,0
0,0,0,0,0,0,20,0,0
0,0,0,0,0,0,21,0,0
0,0,0,0,0,0,22,0,0
0,0,0,0,0,0,23,0,0
0,0,0,0,0,0,24,0,0
0,0,0,0,0,0,25,0,0
0,0,0,0,0,0,26,0,0
0,0,0,0,0,0,27,0,0
0,0,0,0,0,0,28,0,0
0,0,0,0,0,0,29,0,0
0,0,0,0,0,0,30,0,0
0,0,0,0,0,0,31,0,0
0,0,0,0,0,0,32,0,0
0,0,0,0,0,0,33,0,0
0,0,0,0,0,0,34,0,0
0,0,0,0,0,0,35,0,0
0,0,0,0,0,0,36,0,0
0,0,0,0,0,0,37,0,0
0,0,0,0,0,0,38,0,0
0,0,0,0,0,0,39,0,0
0,0,0,0,0,0,40,0,0
0,0,0,0,0,0,41,0,0
0,0,0,0,0,0,42,0,0
0,0,0,0,0,0,43,0,0
0,0,0,0,0,0,44,0,0
0,0,0,0,0,0,45,0,0
0,0,0,0,0,0,46,0,0
0,0,0,0,0,0,47,0,0
0,0,0,0,0,0,48,0,0
0,0,0,0,0,0,49,0,0
0,0,0,0,0,0,50,0,0
0,0,0,0,0,0,51,0,0
1,211.7,341.5,554.1,614.2,0.99,0,car,1.0
1,762.6,843.5,519.4,561.8,0.99,1,car,0.99
1,1024.0,1068.9,482.3,516.9,0.98,2,car,0.95
1,1123.3,1280.5,548.1,662.6,0.95,3,car,0.91
1,0,0,0,0,0,4,0,0
1,0,0,0,0,0,5,0,0
1,0,0,0,0,0,6,0,0
1,0,0,0,0,0,7,0,0
1,0,0,0,0,0,8,0,0
1,0,0,0,0,0,9,0,0
1,0,0,0,0,0,10,0,0
1,0,0,0,0,0,11,0,0
1,0,0,0,0,0,12,0,0
1,0,0,0,0,0,13,0,0
1,0,0,0,0,0,14,0,0
1,0,0,0,0,0,15,0,0
1,0,0,0,0,0,16,0,0
1,0,0,0,0,0,17,0,0
1,0,0,0,0,0,18,0,0
1,0,0,0,0,0,19,0,0
1,0,0,0,0,0,20,0,0
1,0,0,0,0,0,21,0,0
1,0,0,0,0,0,22,0,0
1,0,0,0,0,0,23,0,0
